Datum;Uhrzeit;exemplary_load
06.11.2016;22:30:00;4,391.20
06.11.2016;22:45:00;3,379.20
06.11.2016;23:00:00;1,856.80
06.11.2016;23:15:00;2,780.80
06.11.2016;23:30:00;4,092.00
06.11.2016;23:45:00;4,910.40
07.11.2016;00:00:00;5,024.80
07.11.2016;00:15:00;5,632.00
07.11.2016;00:30:00;5,535.20
07.11.2016;00:45:00;5,552.80
07.11.2016;01:00:00;5,420.80
07.11.2016;01:15:00;5,790.40
07.11.2016;01:30:00;5,095.20
07.11.2016;01:45:00;5,931.20
07.11.2016;02:00:00;5,816.80
07.11.2016;02:15:00;5,412.00
07.11.2016;02:30:00;5,799.20
07.11.2016;02:45:00;5,975.20
07.11.2016;03:00:00;5,676.00
07.11.2016;03:15:00;5,816.80
07.11.2016;03:30:00;5,975.20
07.11.2016;03:45:00;5,077.60
07.11.2016;04:00:00;4,523.20
07.11.2016;04:15:00;5,200.80
07.11.2016;04:30:00;5,869.60
07.11.2016;04:45:00;5,852.00
07.11.2016;05:00:00;6,028.00
07.11.2016;05:15:00;6,204.00
07.11.2016;05:30:00;6,529.60
07.11.2016;05:45:00;7,673.60
07.11.2016;06:00:00;9,231.20
07.11.2016;06:15:00;10,498.40
07.11.2016;06:30:00;11,290.40
07.11.2016;06:45:00;12,152.80
07.11.2016;07:00:00;12,821.60
07.11.2016;07:15:00;13,965.60
07.11.2016;07:30:00;14,053.60
07.11.2016;07:45:00;14,572.80
07.11.2016;08:00:00;15,144.80
07.11.2016;08:15:00;15,021.60
07.11.2016;08:30:00;15,144.80
07.11.2016;08:45:00;15,382.40
07.11.2016;09:00:00;15,435.20
07.11.2016;09:15:00;14,643.20
07.11.2016;09:30:00;15,875.20
07.11.2016;09:45:00;15,690.40
07.11.2016;10:00:00;15,435.20
07.11.2016;10:15:00;14,854.40
07.11.2016;10:30:00;13,226.40
07.11.2016;10:45:00;13,666.40
07.11.2016;11:00:00;14,766.40
07.11.2016;11:15:00;15,250.40
07.11.2016;11:30:00;14,968.80
07.11.2016;11:45:00;15,232.80
07.11.2016;12:00:00;15,180.00
07.11.2016;12:15:00;14,476.00
07.11.2016;12:30:00;14,898.40
07.11.2016;12:45:00;15,576.00
07.11.2016;13:00:00;15,294.40
07.11.2016;13:15:00;14,634.40
07.11.2016;13:30:00;14,000.80
07.11.2016;13:45:00;14,229.60
07.11.2016;14:00:00;14,731.20
07.11.2016;14:15:00;14,440.80
07.11.2016;14:30:00;14,616.80
07.11.2016;14:45:00;14,150.40
07.11.2016;15:00:00;14,000.80
07.11.2016;15:15:00;13,895.20
07.11.2016;15:30:00;13,939.20
07.11.2016;15:45:00;14,168.00
07.11.2016;16:00:00;14,317.60
07.11.2016;16:15:00;14,432.00
07.11.2016;16:30:00;14,423.20
07.11.2016;16:45:00;14,344.00
07.11.2016;17:00:00;14,493.60
07.11.2016;17:15:00;14,599.20
07.11.2016;17:30:00;14,740.00
07.11.2016;17:45:00;14,660.80
07.11.2016;18:00:00;14,308.80
07.11.2016;18:15:00;13,455.20
07.11.2016;18:30:00;13,332.00
07.11.2016;18:45:00;13,226.40
07.11.2016;19:00:00;13,270.40
07.11.2016;19:15:00;13,851.20
07.11.2016;19:30:00;13,613.60
07.11.2016;19:45:00;13,604.80
07.11.2016;20:00:00;13,798.40
07.11.2016;20:15:00;13,569.60
07.11.2016;20:30:00;13,657.60
07.11.2016;20:45:00;13,578.40
07.11.2016;21:00:00;13,076.80
07.11.2016;21:15:00;12,962.40
07.11.2016;21:30:00;12,425.60
07.11.2016;21:45:00;11,607.20
07.11.2016;22:00:00;11,528.00
07.11.2016;22:15:00;11,607.20
07.11.2016;22:30:00;11,589.60
07.11.2016;22:45:00;11,044.00
07.11.2016;23:00:00;10,947.20
07.11.2016;23:15:00;10,656.80
07.11.2016;23:30:00;10,331.20
07.11.2016;23:45:00;9,776.80
08.11.2016;00:00:00;10,005.60
08.11.2016;00:15:00;9,600.80
08.11.2016;00:30:00;9,477.60
08.11.2016;00:45:00;9,486.40
08.11.2016;01:00:00;9,372.00
08.11.2016;01:15:00;9,090.40
08.11.2016;01:30:00;8,914.40
08.11.2016;01:45:00;8,861.60
08.11.2016;02:00:00;8,650.40
08.11.2016;02:15:00;8,808.80
08.11.2016;02:30:00;8,553.60
08.11.2016;02:45:00;8,571.20
08.11.2016;03:00:00;8,360.00
08.11.2016;03:15:00;8,368.80
08.11.2016;03:30:00;8,606.40
08.11.2016;03:45:00;8,756.00
08.11.2016;04:00:00;8,932.00
08.11.2016;04:15:00;8,157.60
08.11.2016;04:30:00;6,652.80
08.11.2016;04:45:00;7,427.20
08.11.2016;05:00:00;7,656.00
08.11.2016;05:15:00;7,444.80
08.11.2016;05:30:00;7,453.60
08.11.2016;05:45:00;7,268.80
08.11.2016;06:00:00;7,286.40
08.11.2016;06:15:00;8,448.00
08.11.2016;06:30:00;3,960.00
08.11.2016;06:45:00;0
08.11.2016;07:00:00;0
08.11.2016;07:15:00;0
08.11.2016;07:30:00;0
08.11.2016;07:45:00;0
08.11.2016;08:00:00;0
08.11.2016;08:15:00;0
08.11.2016;08:30:00;0
08.11.2016;08:45:00;0
08.11.2016;09:00:00;0
08.11.2016;09:15:00;0
08.11.2016;09:30:00;0
08.11.2016;09:45:00;0
08.11.2016;10:00:00;0
08.11.2016;10:15:00;0
08.11.2016;10:30:00;0
08.11.2016;10:45:00;0
08.11.2016;11:00:00;0
08.11.2016;11:15:00;0
08.11.2016;11:30:00;0
08.11.2016;11:45:00;4,672.80
08.11.2016;12:00:00;16,068.80
08.11.2016;12:15:00;16,297.60
08.11.2016;12:30:00;16,711.20
08.11.2016;12:45:00;16,297.60
08.11.2016;13:00:00;15,611.20
08.11.2016;13:15:00;15,285.60
08.11.2016;13:30:00;13,446.40
08.11.2016;13:45:00;11,677.60
08.11.2016;14:00:00;10,102.40
08.11.2016;14:15:00;11,941.60
08.11.2016;14:30:00;11,158.40
08.11.2016;14:45:00;10,718.40
08.11.2016;15:00:00;12,698.40
08.11.2016;15:15:00;13,138.40
08.11.2016;15:30:00;11,756.80
08.11.2016;15:45:00;10,287.20
08.11.2016;16:00:00;9,671.20
